id,name,address,phone,type,department,municipality,nit_municipality,notifier_email,created_at,updated_at,deleted_at,code_dane_municipality,traffic_agency_code,mandate_document_applies,virtual_process_applies,id_parinttrasec_transfer,is_active_flit,code_divipo,request_issue_date_flag,traffic_secretary_requires_preassignment_plate,id_parinttrasec_registration,id_parinttrasec_otherservice,department_dane_code,requires_peace_and_safe,allows_runt_approval_queries,contact_phone,contact_name
0,TTO DEFECTO,ALCALDIA MUNICIPAL,3014103299,Organismos de Tránsito,NARIÑO,DEFECTO,0,contactenos@samaniego-narino.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,52678,0,False,False,1,False,NULL,False,False,1,1,52,False,False,,
1,ALCALDIA MPAL DE VEGACHI,PLAZA PPAL,2545412,Organismos de Tránsito,ANTIOQUIA,VEGACHI,890985285, notificacionjudicial@vegachi-antioquia.gov.co,2023-09-25 20:21:59.382,2023-09-25 20:21:59.382,NULL,05858,5858000,False,False,1,False,NULL,False,False,1,1,05,False,False,,
2,DEPTO ADMTVO DE TTO Y TTE PUTUMAYO,CARRERA 2 NO. 7-25 BARRIO EL PROGRESO,5555555,Organismos de Tránsito,PUTUMAYO,VILLAGARZON,800094164,despacho@villagarzon-putumayo.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,86885,86885000,False,False,1,False,NULL,False,False,1,1,,False,False,,
3,DIR DPTAL TTOyTTE CASANARE/AGUAZUL,CARRERA 21 # 14-23 PISO 2 BARRIO CRISTAL,6384900,Organismos de Tránsito,CASANARE,AGUAZUL - CASANARE,891855200,notificaciones_judiciales@aguazul-casanare.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,85010,85010000,False,False,1,False,NULL,False,False,1,1,,False,False,,
4,DIR DPTAL TTOyTTE SAN ANDRES ISLAS,AVENIDA FRANCISCO NEWBALL EDIFICIO CORAL PALACE. SAN ANDRES ISLAS,5130801,Organismos de Tránsito,ARCHIPIÉLAGO DE SAN ANDRÉS Y PROVIDENCIA,SAN ANDRES - SAN ANDRES,892400038,,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,88001,88001000,False,False,1,False,NULL,False,False,1,1,,False,False,,
5,DIR MCPAL TTOyTTE MANZANARES,CALLE 6 CON CARRERA 4 ESQUINA,8550022,Organismos de Tránsito,CALDAS,MANZANARES,890802505,notificacionjudicial@manzanares-caldas.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,17433,17433000,False,False,1,False,NULL,False,False,1,1,17,False,False,,
6,DIR TTEyTTO  MCPAL BARBOSA,CARRERA 15 # 15-29 ANTIGUA SEDE DE BANCOLOMBIA,4548300,Organismos de Tránsito,ANTIOQUIA,BARBOSA,890980445,asistenteadmsatt@gmail.com,2023-09-25 20:21:59.382,2025-08-13 21:36:08.600805,NULL,5079,5079000,True,True,1,True,NULL,True,True,1,1,05,False,False,3113576197,JIMENA LOAIZA
7,DIR TTEyTTO DPTAL CHOCO/ISTMINA,CALLE 30 DIAGONAL CEMENTERIO S.J,6711239,Organismos de Tránsito,CHOCÓ,ISTMINA - CHOCO,818000365,notificacionjudicial@istmina-choco.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,27361,27361000,False,False,1,False,NULL,False,False,1,1,,False,False,,
8,DIR TTO MCPAL DONMATIAS,CARRERA 30 NO. 29-59,8663243,Organismos de Tránsito,ANTIOQUIA,DON MATIAS,901243431,contactenos@donmatias-antioquia.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,5237,5237000,False,False,1,False,NULL,False,False,1,1,05,False,False,,
9,DIR TTOyTTE BUCARAMANGA,KM. 4 VIA A GIRON - BUCARAMANGA,6378415,Organismos de Tránsito,SANTANDER,BUCARAMANGA,890201222,notificaciones@bucaramanga.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,68001,68001000,False,False,1,False,NULL,False,False,1,1,68,False,False,,
10,DIR TTOyTTE DPTAL CAQUETA/BELEN DE LOS ANDAQUIES,ALCALDIA MUNICIPAL,84316079,Organismos de Tránsito,CAQUETÁ,BELEN DE LOS ANDAQUIES - CAQUETA,828002553,alcaldia@belendelosandaquies-caqueta.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,18094,18094000,False,False,1,False,NULL,False,False,1,1,,False,False,,
11,DIR TTOYTTE DPTAL CAQUETA/EL PAUJIL,CALLE 15 CARRERA 13 ESQUINA,4352427,Organismos de Tránsito,CAQUETÁ,FLORENCIA - CAQUETA,800095728, notificacionesjudiciales@florencia-caqueta.gov.co,2023-09-25 20:21:59.382334,2023-09-25 20:21:59.382334,NULL,18256,18256000,False,False,1,False,NULL,False,False,1,1,,False,False,,
